"minPts","eps","Precision", "Recall","F1"
3,0.37,0.0821643286573146,0.881720430107527,0.15032080659945
3,0.38,0.114202049780381,0.838709677419355,0.201030927835052
3,0.39,0.153518123667377,0.774193548387097,0.256227758007117
3,0.4,0.219135802469136,0.763440860215054,0.34052757793765
3,0.41,0.308755760368664,0.720430107526882,0.432258064516129
3,0.42,0.40506329113924,0.688172043010753,0.50996015936255
3,0.43,0.51304347826087,0.634408602150538,0.567307692307692
3,0.44,0.666666666666667,0.623655913978495,0.644444444444444
3,0.45,0.733333333333333,0.591397849462366,0.654761904761905
3,0.46,0.787878787878788,0.559139784946237,0.654088050314465
3,0.47,0.872727272727273,0.516129032258065,0.648648648648649
3,0.48,0.9375,0.483870967741935,0.638297872340425
3,0.49,1,0.43010752688172,0.601503759398496
3,0.5,1,0.376344086021505,0.546875
3,0.51,1,0.365591397849462,0.535433070866142
3,0.52,1,0.354838709677419,0.523809523809524
3,0.53,1,0.32258064516129,0.48780487804878
3,0.54,1,0.290322580645161,0.45
3,0.55,1,0.247311827956989,0.396551724137931
3,0.56,1,0.236559139784946,0.382608695652174
3,0.57,1,0.225806451612903,0.368421052631579
3,0.58,1,0.225806451612903,0.368421052631579
3,0.59,1,0.21505376344086,0.353982300884956
3,0.6,1,0.204301075268817,0.339285714285714
3,0.61,1,0.172043010752688,0.293577981651376
3,0.62,1,0.150537634408602,0.261682242990654
3,0.63,1,0.139784946236559,0.245283018867925
3,0.64,1,0.129032258064516,0.228571428571429
3,0.65,1,0.118279569892473,0.211538461538462
3,0.66,1,0.0967741935483871,0.176470588235294
3,0.67,1,0.0752688172043011,0.14
3,0.68,1,0.0537634408602151,0.102040816326531
3,0.69,1,0.032258064516129,0.0625
3,0.7,1,0.021505376344086,0.0421052631578947
3,0.71,1,0.021505376344086,0.0421052631578947
3,0.72,1,0.010752688172043,0.0212765957446809
3,0.73,1,0.010752688172043,0.0212765957446809
3,0.74,1,0.010752688172043,0.0212765957446809
4,0.1,0.0093,1,0.0184286138908154
4,0.11,0.0093,1,0.0184286138908154
4,0.12,0.0093,1,0.0184286138908154
4,0.13,0.0093,1,0.0184286138908154
4,0.14,0.0093,1,0.0184286138908154
4,0.15,0.0093,1,0.0184286138908154
4,0.16,0.0093,1,0.0184286138908154
4,0.17,0.0093,1,0.0184286138908154
4,0.18,0.0093,1,0.0184286138908154
4,0.19,0.0093,1,0.0184286138908154
4,0.2,0.0093,1,0.0184286138908154
4,0.21,0.0093,1,0.0184286138908154
4,0.22,0.0093,1,0.0184286138908154
4,0.23,0.00930372148859544,1,0.0184359203092477
4,0.24,0.00930372148859544,1,0.0184359203092477
4,0.25,0.00931490384615385,1,0.0184578743673712
4,0.26,0.00936461584936059,1,0.0185554668794892
4,0.27,0.00945410186032327,1,0.0187311178247734
4,0.28,0.00964630225080386,1,0.0191082802547771
4,0.29,0.0100867678958785,1,0.0199720820358638
4,0.3,0.0107676276484891,1,0.0213058419243986
4,0.31,0.0119124692477017,0.989247311827957,0.0235414534288639
4,0.32,0.0138192862566439,0.978494623655914,0.0272536687631027
4,0.33,0.0167310167310167,0.978494623655914,0.0328994938539407
4,0.34,0.0214218455743879,0.978494623655914,0.0419258235429625
