"minPts","eps","Precision", "Recall","F1"
2,0.1,0.0067,1,0.0133108175225986
2,0.11,0.0067,1,0.0133108175225986
2,0.12,0.0067,1,0.0133108175225986
2,0.13,0.0067,1,0.0133108175225986
2,0.14,0.0067,1,0.0133108175225986
2,0.15,0.0067,1,0.0133108175225986
2,0.16,0.0067,1,0.0133108175225986
2,0.17,0.00670134026805361,1,0.0133134624937904
2,0.18,0.00670402241344807,1,0.0133187555908955
2,0.19,0.00671611868484362,1,0.0133426267051678
2,0.2,0.00672961028525512,1,0.0133692507233363
2,0.21,0.00674451379102074,1,0.0133986601339866
2,0.22,0.00676357762971936,1,0.0134362779504663
2,0.23,0.00677863213273978,1,0.0134659833182595
2,0.24,0.00682976554536188,1,0.0135668725321454
2,0.25,0.00688309019930142,1,0.0136720742781349
2,0.26,0.00696176226101413,1,0.0138272624084202
2,0.27,0.00706304026987139,1,0.0140270072228619
2,0.28,0.00719501718213058,1,0.0142872374453566
2,0.29,0.0073747936158503,1,0.0146416083916084
2,0.3,0.00760413119963682,1,0.0150934895246677
2,0.31,0.00788606403013183,1,0.0156487212425552
2,0.32,0.00828900160831375,1,0.016441717791411
2,0.33,0.0088146296539929,1,0.0174752217005738
2,0.34,0.00949277415698498,1,0.0188070175438596
2,0.35,0.0103506874710335,1,0.0204892966360856
2,0.36,0.0114863706497514,1,0.0227118644067797
2,0.37,0.0127290260366442,0.985074626865672,0.0251332825590251
2,0.38,0.0147849462365591,0.985074626865672,0.029132641800927
2,0.39,0.017046944662995,0.970149253731343,0.0335051546391753
2,0.4,0.0202182284980745,0.940298507462687,0.0395852968897267
2,0.41,0.0247446975648075,0.940298507462687,0.0482204362801378
2,0.42,0.0298953662182362,0.895522388059702,0.0578592092574735
2,0.43,0.0347085789129011,0.791044776119403,0.0664993726474278
2,0.44,0.0442553191489362,0.776119402985075,0.0837359098228663
2,0.45,0.0574324324324324,0.761194029850746,0.106806282722513
2,0.46,0.0714285714285714,0.716417910447761,0.129905277401894
2,0.47,0.0935550935550936,0.671641791044776,0.164233576642336
2,0.48,0.119402985074627,0.597014925373134,0.199004975124378
2,0.49,0.161157024793388,0.582089552238806,0.252427184466019
2,0.5,0.19672131147541,0.537313432835821,0.288
2,0.51,0.244274809160305,0.477611940298507,0.323232323232323
2,0.52,0.285714285714286,0.447761194029851,0.348837209302326
2,0.53,0.368421052631579,0.417910447761194,0.391608391608392
2,0.54,0.464285714285714,0.388059701492537,0.422764227642276
2,0.55,0.533333333333333,0.358208955223881,0.428571428571428
2,0.56,0.527777777777778,0.283582089552239,0.368932038834951
2,0.57,0.62962962962963,0.253731343283582,0.361702127659575
2,0.58,0.666666666666667,0.238805970149254,0.351648351648352
2,0.59,0.777777777777778,0.208955223880597,0.329411764705882
2,0.6,0.866666666666667,0.194029850746269,0.317073170731707
2,0.61,1,0.149253731343284,0.25974025974026
2,0.62,1,0.149253731343284,0.25974025974026
2,0.63,1,0.119402985074627,0.213333333333333
2,0.64,1,0.104477611940299,0.189189189189189
2,0.65,1,0.0895522388059701,0.164383561643836
2,0.66,1,0.0746268656716418,0.138888888888889
2,0.67,1,0.0746268656716418,0.138888888888889
2,0.68,1,0.0746268656716418,0.138888888888889
2,0.69,1,0.0597014925373134,0.112676056338028
