"minPts","eps","Precision","Recall","F1"
"46",2,0.55,0.533333333333333,0.358208955223881,0.428571428571428
"117",3,0.55,0.533333333333333,0.358208955223881,0.428571428571428
"188",4,0.55,0.5625,0.402985074626866,0.469565217391304
"258",5,0.54,0.445945945945946,0.492537313432836,0.468085106382979
"330",6,0.55,0.53448275862069,0.462686567164179,0.496
"401",7,0.55,0.464788732394366,0.492537313432836,0.478260869565217
"472",8,0.55,0.392857142857143,0.492537313432836,0.437086092715232
"548",9,0.6,0.833333333333333,0.298507462686567,0.439560439560439
"618",10,0.59,0.709677419354839,0.328358208955224,0.448979591836735
