"minPts","eps","Precision", "Recall","F1"
2,0.56,1,0.278350515463918,0.435483870967742
2,0.57,1,0.216494845360825,0.355932203389831
2,0.58,1,0.206185567010309,0.341880341880342
2,0.59,1,0.164948453608247,0.283185840707965
2,0.6,1,0.144329896907216,0.252252252252252
2,0.61,1,0.144329896907216,0.252252252252252
2,0.62,1,0.11340206185567,0.203703703703704
2,0.63,1,0.0927835051546392,0.169811320754717
2,0.64,1,0.0721649484536082,0.134615384615385
2,0.65,1,0.0515463917525773,0.0980392156862745
2,0.66,1,0.0515463917525773,0.0980392156862745
2,0.67,1,0.0515463917525773,0.0980392156862745
2,0.68,1,0.0515463917525773,0.0980392156862745
2,0.69,1,0.0412371134020619,0.0792079207920792
2,0.7,1,0.0309278350515464,0.06
2,0.71,1,0.0206185567010309,0.0404040404040404
2,0.72,1,0.0103092783505155,0.0204081632653061
2,0.73,1,0.0103092783505155,0.0204081632653061
2,0.74,NaN,0,NaN
2,0.75,NaN,0,NaN
2,0.76,NaN,0,NaN
3,0.1,0.0097,1,0.0192136278102407
3,0.11,0.0097,1,0.0192136278102407
3,0.12,0.0097,1,0.0192136278102407
3,0.13,0.0097,1,0.0192136278102407
3,0.14,0.0097,1,0.0192136278102407
3,0.15,0.0097,1,0.0192136278102407
3,0.16,0.0097,1,0.0192136278102407
3,0.17,0.0097,1,0.0192136278102407
3,0.18,0.00970291087326198,1,0.0192193382207252
3,0.19,0.00970582349409646,1,0.0192250520265583
3,0.2,0.00970873786407767,1,0.0192307692307692
3,0.21,0.00971457185778668,1,0.019242213846459
3,0.22,0.00977034649476229,1,0.0193516209476309
3,0.23,0.00981185514869513,1,0.0194330361614745
3,0.24,0.00990200081665986,1,0.019609825128879
3,0.25,0.0100403684918745,1,0.0198811231809797
3,0.26,0.0102558680482132,1,0.0203035060177917
3,0.27,0.0107479224376731,1,0.0212672659504495
3,0.28,0.0113180853572271,0.989690721649485,0.0223802307961301
3,0.29,0.0124432922877511,0.989690721649485,0.0245775729646697
3,0.3,0.0140741826711626,0.989690721649485,0.0277536860364267
3,0.31,0.0164665523156089,0.989690721649485,0.0323941285641977
3,0.32,0.0201527365294866,0.979381443298969,0.0394928289336936
3,0.33,0.0251808197160461,0.969072164948454,0.0490861618798956
3,0.34,0.0330104054538931,0.948453608247423,0.0638002773925104
3,0.35,0.0422465208747515,0.876288659793814,0.0806069227121859
3,0.36,0.0585802894555479,0.876288659793814,0.109819121447028
3,0.37,0.0845921450151057,0.865979381443299,0.154128440366972
3,0.38,0.129541864139021,0.845360824742268,0.224657534246575
